Name,Year,Author,ISBN-10,Pages,Language,File size,File format,Category,Links
Ubuntu: Powerful Hacks and Customizations,2010,Neal Krawetz,0470589884,528,English,"5,43 MB",PDF,Linux & Unix,http://file.allitebooks.com/20151101/Ubuntu- Powerful Hacks and Customizations.pdf
Project 2010 Bible,2010,Elaine Marmel,0470501316,468,English,29.39 MB,PDF,Windows & PC,http://file.allitebooks.com/20151101/Project 2010 Bible.pdf
Word 2010 Bible,2010,Herb Tyson,0470591846,984,English,"17,92 MB",PDF,Windows & PC,http://file.allitebooks.com/20151101/Word 2010 Bible.pdf
How to Do Everything: Ubuntu,2008,Jeffrey Orloff,0071549366,350,English,14.59 MB,PDF,Linux & Unix,http://file.allitebooks.com/20151031/How to Do Everything- Ubuntu.pdf
Evolutionary Optimization Algorithms,2013,Dan Simon,0470937416,772,English,34.74 MB,PDF,Computer Science,http://file.allitebooks.com/20151031/Evolutionary Optimization Algorithms.pdf
InDesign CS5 Bible,2010,Galen Gruman,0470607165,944,English,14.26 MB,PDF,Graphics & Design,http://file.allitebooks.com/20151031/InDesign CS5 Bible.pdf
InDesign CS5 For Dummies,2010,Galen Gruman,0470614498,456,English,"9,77 MB",PDF,Graphics & Design,http://file.allitebooks.com/20151031/InDesign CS5 For Dummies.pdf
Oracle SOA Suite 11g R1 Developer’s Guide,2010,Antony Reynolds,1849680183,720,English,"15,91 MB",PDF,Oracle,http://file.allitebooks.com/20151031/Oracle SOA Suite 11g R1 Developer-s Guide.pdf
Using SQLite,2010,Jay A. Kreibich,0596521189,528,English,"5,63 MB",PDF,SQL,http://file.allitebooks.com/20151031/Using SQLite.pdf
SharePoint 2010 For Dummies,2010,Vanessa L. Williams,0470476435,408,English,"9,89 MB",PDF,Networking & Cloud Computing,http://file.allitebooks.com/20151031/SharePoint 2010 For Dummies.pdf
Droid 3 For Dummies,2012,Dan Gookin,1118157214,368,English,34.56 MB,PDF,Android,http://file.allitebooks.com/20151030/Droid 3 For Dummies.pdf
"Android Phones For Dummies, 3rd Edition",2015,Dan Gookin,1119126002,352,English,9.35 MB,PDF,Android,"http://file.allitebooks.com/20151030/Android Phones For Dummies, 3rd Edition.pdf"
Apple Watch And Iphone Fitness Tips And Tricks,2015,Jason R. Rich,0789754754,368,English,21.26 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151030/Apple Watch And Iphone Fitness Tips And Tricks.pdf
A Newbies Guide to Apple Watch,2015,Minute Help Gudies,1512021032,82,English,2.21 MB,PDF,Computers & Technology,http://file.allitebooks.com/20151030/A Newbie's Guide To Apple Watch.pdf
Building A Home Security System With Arduino,2015,Jorge R. Castro,1785280600,132,English,2.38 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151030/Building A Home Security System With Arduino.pdf
Practical Ruby Projects: Ideas for the Eclectic Programmer,2010,Christopher Cyll,159059911X,328,English,3.16 MB,PDF,Ruby,http://file.allitebooks.com/20151029/Practical Ruby Projects Ideas for the Eclectic Programmer.pdf
Programming Arduino Getting Started with Sketches,2012,Simon Monk,0071784225,176,English,5.52 MB,PDF,C & C++,http://file.allitebooks.com/20151029/Programming Arduino Getting Started with Sketches.pdf
Net Works: Case Studies in Web Art and Design,2011,xtine burrough,0415882222,264,English,4.93 MB,PDF,Computer Science,http://file.allitebooks.com/20151029/Net Works Case Studies in Web Art and Design.pdf
"Practical Guide to Ubuntu Linux, 3rd Edition",2010,Mark G. Sobell,013254248X,1302,English,12.68 MB,PDF,Linux & Unix,"http://file.allitebooks.com/20151029/Practical Guide to Ubuntu Linux, 3rd Edition.pdf"
"Data Structures & Algorithm Analysis in C++, 4th Edition",2013,Mark A. Weiss,013284737X,656,English,2.95 MB,PDF,C & C++,"http://file.allitebooks.com/20151029/Data Structures & Algorithm Analysis in C++, 4th Edition.pdf"
Using WebPageTest,2015,Andy Davies,1491902590,214,English,6.08 MB,PDF,Services & APIs,http://file.allitebooks.com/20151029/Using WebPageTest.pdf
How To Make A Website And An eBook Income,2015,Joseph Miller,B016P0ZLZC,154,English,3.61 MB,PDF,Marketing & SEO,http://file.allitebooks.com/20151029/How To Make A Website And An eBook Income.pdf
High Performance Mobile Web,2015,Maximiliano Firtman,1491912553,400,English,7.97 MB,PDF,Programming,http://file.allitebooks.com/20151029/High Performance Mobile Web.pdf
"SignalR – Real-time Application Development, Second Edition",2015,Einar Ingebrigtsen,1785285459,175,English,5.89 MB,PDF,ASP.NET,"http://file.allitebooks.com/20151029/SignalR - Real-time Application Development, Second Edition.pdf"
Raspberry Pi Android Projects,2015,Gokhan Kurt,1785887025,118,English,3.86 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151029/Raspberry Pi Android Projects.pdf
Python Game Programming By Example,2015,Alejandro Rodas de Paz,1785281534,231,English,3.43 MB,PDF,Python,http://file.allitebooks.com/20151029/Python Game Programming By Example.pdf
Data Manipulation with R,2014,Jaynal Abedin,178328109X,102,English,7.37 MB,PDF,Datebases,http://file.allitebooks.com/20151028/Data Manipulation with R.pdf
Choosing an Open Source CMS: Beginner’s Guide,2009,Nirav Mehta,1847196225,340,English,14.35 MB,PDF,Web Development,http://file.allitebooks.com/20151028/Choosing an Open Source CMS- Beginner-s Guide.pdf
Foundations of Programming Languages,2014,Kent D. Lee,3319133136,368,English,21.36 MB,PDF,Programming,http://file.allitebooks.com/20151028/Foundations of Programming Languages.pdf
Emotion-Oriented Systems,2011,Catherine Pelachaud,1848212585,352,English,8.24 MB,PDF,Computer Science,http://file.allitebooks.com/20151028/Emotion-Oriented Systems.pdf
"Visual C# 2012 How to Program, 5th Edition",2013,Harvey Deitel,0133379337,1024,English,16.83 MB,PDF,C#,"http://file.allitebooks.com/20151028/Visual C- 2012 How to Program, 5th Edition.pdf"
Spring Boot Cookbook,2015,Alex Antonov,1785284150,189,English,2.91 MB,PDF,Java,http://file.allitebooks.com/20151028/Spring Boot Cookbook.pdf
"Swift 2 For Absolute Beginners, 2nd Edition",2015,Brad Lees,1484214897,360,English,17.64 MB,PDF,Swift,"http://file.allitebooks.com/20151028/Swift 2 For Absolute Beginners, 2nd Edition.pdf"
Yii2 By Example,2015,Fabrizio Caldarelli,1785287419,290,English,2.01 MB,PDF,PHP,http://file.allitebooks.com/20151028/Yii2 By Example.pdf
Unreal Engine Physics Essentials,2015,Devin Sherry,1784394904,146,English,14.37 MB,PDF,Game Programming,http://file.allitebooks.com/20151028/Unreal Engine Physics Essentials.pdf
Troubleshooting Ubuntu Server,2015,Skanda Bhargav,1785284142,266,English,9.39 MB,PDF,Cloud Computing,http://file.allitebooks.com/20151028/Troubleshooting Ubuntu Server.pdf
Unity Character Animation With Mecanim,2015,Jamie Dean,1849696365,290,English,7.97 MB,PDF,Game Programming,http://file.allitebooks.com/20151028/Unity Character Animation With Mecanim.pdf
"WordPress 4.0 Site Blueprints, Second Edition",2015,Rachel McCollin,1784397962,357,English,27.91 MB,PDF,CMS,"http://file.allitebooks.com/20151028/WordPress 4.0 Site Blueprints, Second Edition.pdf"
Mastering Apache Spark,2015,Mike Frampton,1783987146,318,English,17.70 MB,PDF,Java,http://file.allitebooks.com/20151028/Mastering Apache Spark.pdf
GitHub Essentials,2015,Achilleas Pipinellis,1783553715,190,English,8.43 MB,PDF,Programming,http://file.allitebooks.com/20151028/GitHub Essentials.pdf
The Design of Approximation Algorithms,2011,David B. Shmoys,0521195276,516,English,"4,65 MB",PDF,Programming,http://file.allitebooks.com/20151028/The Design of Approximation Algorithms.pdf
"Logic, Language, Information, and Computation",2013,Leonid Libkin,3642399916,291,English,3.35 MB,PDF,Datebases,"http://file.allitebooks.com/20151027/Logic, Language, Information, and Computation.pdf"
Dark Web: Exploring and Data Mining the Dark Side of the Web,2012,Hsinchun Chen,146141556X,480,English,12.69 MB,PDF,Datebases,http://file.allitebooks.com/20151027/Dark Web- Exploring and Data Mining the Dark Side of the Web.pdf
Pro WordPress Theme Development,2013,Adam Onishi,1430259140,500,English,15.71 MB,PDF,CMS,http://file.allitebooks.com/20151026/Pro WordPress Theme Development.pdf
"Starting Out with Java, 6th Edition",2015,Tony Gaddis,0133957055,1224,English,17.04 MB,PDF,Java,"http://file.allitebooks.com/20151026/Starting Out with Java, 6th Edition.pdf"
"Abusing the Internet of Things: Blackouts, Freakouts, and Stakeouts",2015,Nitesh Dhanjani,1491902337,296,English,42.31 MB,PDF,Hardware & DIY,"http://file.allitebooks.com/20151026/Abusing the Internet of Things Blackouts, Freakouts, and Stakeouts.pdf"
"The Art of SEO: Mastering Search Engine Optimization, 3rd Edition",2015,Eric Enge,1491948965,994,English,63.10 MB,PDF,Marketing & SEO,"http://file.allitebooks.com/20151026/The Art of SEO Mastering Search Engine Optimization, 3rd Edition.pdf"
"Fundamentals of Logic Design, 7th Edition",2013,Jr. Charles H. Roth,1133628478,816,English,25.09 MB,PDF,Programming,"http://file.allitebooks.com/20151026/Fundamentals of Logic Design, 7th Edition.pdf"
"Android Tablets For Dummies, 3rd Edition",2015,Dan Gookin,1119126029,352,English,15.87 MB,PDF,Programming,"http://file.allitebooks.com/20151026/Android Tablets For Dummies, 3rd Edition.pdf"
"Scrum and Xp from the Trenches, 2nd Edition",2015,Henrik Kniberg,1329224272,184,English,2.73 MB,PDF,Computer Science,"http://file.allitebooks.com/20151026/Scrum and Xp from the Trenches, 2nd Edition.pdf"
"Systems Architecture, 6 Edition",2010,Stephen D. Burd,0538475331,656,English,15.02 MB,PDF,Hardware & DIY,"http://file.allitebooks.com/20151026/Systems Architecture, 6 edition.pdf"
Visual Cryptography and Secret Image Sharing,2011,Ching-Nung Yang,143983721X,545,English,9.94 MB,PDF,Security,http://file.allitebooks.com/20151026/Visual Cryptography and Secret Image Sharing.pdf
Photoshop Elements 12 All-in-One For Dummies,2013,Barbara Obermeier,1118743970,672,English,104.22 MB,PDF,Graphics & Design,http://file.allitebooks.com/20151026/Photoshop Elements 12 All-in-One For Dummies.pdf
Formal Methods for Web Services,2009,Gianluigi Zavattaro,364201917X,341,English,8.92 MB,PDF,Web Servers,http://file.allitebooks.com/20151025/Formal Methods for Web Services.pdf
openFrameworks Essentials,2015,Denis Perevalov,1784396141,175,English,3.39 MB,PDF,"Networks, Protocols & APIs",http://file.allitebooks.com/20151025/openFrameworks Essentials.pdf
Meta-Learning in Decision Tree Induction,2014,Krzysztof Grabczewski,3319009591,360,English,5.26 MB,PDF,Computer Science,http://file.allitebooks.com/20151025/Meta-Learning in Decision Tree Induction.pdf
Instant Kali Linux,2013,Abhinav Singh,1849695660,68,English,"3,.49 MB",PDF,Security,http://file.allitebooks.com/20151025/Instant Kali Linux.pdf
"Computer, Network, Software, and Hardware Engineering with Applications",2012,Norman F. Schneidewind,1118037456,608,English,"4,24 MB",PDF,Network Security,"http://file.allitebooks.com/20151025/Computer, Network, Software, and Hardware Engineering with Applications.pdf"
Computer System Design: System-on-Chip,2011,Michael J. Flynn,0470643366,360,English,5.05 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151025/Computer System Design System-on-Chip.pdf
Computer Architecture,2012,Bertrand Dupouy,1848214294,384,English,4.97 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151025/Computer Architecture.pdf
"Java Message Service, 2nd Edition",2009,David A Chappell,0596522045,330,English,5.65 MB,PDF,Java,"http://file.allitebooks.com/20151024/Java Message Service, 2nd Edition.pdf"
Oracle JDeveloper 11gR2 Cookbook,2012,Nick Haralabidis,1849684766,406,English,10.52 MB,PDF,Oracle,http://file.allitebooks.com/20151024/Oracle JDeveloper 11gR2 Cookbook.pdf
Oracle Database 11gR2 Performance Tuning Cookbook,2012,Ciro Fiorillo,1849682607,543,English,7.69 MB,PDF,Oracle,http://file.allitebooks.com/20151024/Oracle Database 11gR2 Performance Tuning Cookbook.pdf
Effective JavaScript,2012,David Herman,0321812182,228,English,1.91 MB,PDF,JavaScript,http://file.allitebooks.com/20151024/Effective JavaScript.pdf
Building Machine Learning Systems with Python,2013,Luis Pedro Coelho,1782161406,290,English,6.33 MB,PDF,Python,http://file.allitebooks.com/20151023/Building Machine Learning Systems with Python.pdf
"Official (ISC)2 Guide to the CSSLP CBK, Second Edition",2013,Mano Paul,1466571276,800,English,17.32 MB,PDF,Security,"http://file.allitebooks.com/20151023/Official (ISC)2 Guide to the CSSLP CBK, Second Edition.pdf"
CSS3 Pushing the Limits,2013,Stephen Greig,1118652630,384,English,39.76 MB,PDF,"HTML, HTML5 & CSS",http://file.allitebooks.com/20151023/CSS3 Pushing the Limits.pdf
Agent-Based Modeling and Simulation with Swarm,2013,Hitoshi Iba,146656234X,317,English,13.37 MB,PDF,Computer Science,http://file.allitebooks.com/20151023/Agent-Based Modeling and Simulation with Swarm.pdf
Computational Intelligent Data Analysis for Sustainable Development,2013,Nitesh Chawla,1439895945,440,English,"15,97 MB",PDF,Datebases,http://file.allitebooks.com/20151023/Computational Intelligent Data Analysis for Sustainable Development.pdf
Modelling of GPCRs: A Practical Handbook,2013,Andrea Strasser,9400745958,218,English,8.58 MB,PDF,Computer Science,http://file.allitebooks.com/20151023/Modelling of GPCRs- A Practical Handbook.pdf
"Exploring Microsoft Office 2013, Volume 1",2013,Amy Rutledge,0133142671,1136,English,141.01 MB,PDF,Windows & PC,"http://file.allitebooks.com/20151022/Exploring Microsoft Office 2013, Volume 1.pdf"
Advances in Neural Networks: Computational and Theoretical Issues,2015,Anna Esposito,3319181637,402,English,29.69 MB,PDF,Computer Science,http://file.allitebooks.com/20151022/Advances in Neural Networks Computational and Theoretical Issues.pdf
Model-Driven and Software Product Line Engineering,2012,Hugo Arboleda,1848214278,278,English,"9,67 MB",PDF,Computer Science,http://file.allitebooks.com/20151022/Model-Driven and Software Product Line Engineering.pdf
Innovative Software Development in GIS,2012,Benedicte Bucher,1848213646,352,English,28.47 MB,PDF,Computer Science,http://file.allitebooks.com/20151022/Innovative Software Development in GIS.pdf
Complex-Valued Neural Networks: Advances and Applications,2013,Akira Hirose,111834460X,304,English,"7,27 MB",PDF,Computer Science,http://file.allitebooks.com/20151022/Complex-Valued Neural Networks Advances and Applications.pdf
Android Programming: Pushing the Limits,2013,Erik Hellman,1118717376,432,English,35 MB,PDF,Programming,http://file.allitebooks.com/20151021/Android Programming- Pushing the Limits.pdf
JavaScript Programming: Pushing the Limits,2013,Jon Raasch,111852456X,404,English,31.9 MB,PDF,JavaScript,http://file.allitebooks.com/20151021/JavaScript Programming Pushing the Limits.pdf
"Ubuntu Unleashed 2015 Edition, 10th Edition",2014,Matthew Helmke,0672338378,912,English,11.81 MB,PDF,Linux & Unix,"http://file.allitebooks.com/20151021/Ubuntu Unleashed 2015 Edition, 10th Edition.pdf"
Data Management in Pervasive Systems,2015,Antonio Picariello,3319200615,366,English,11.27 MB,PDF,Computer Science,http://file.allitebooks.com/20151021/Data Management in Pervasive Systems.pdf
"Privacy in a Digital, Networked World",2015,Mohamad Badra (Editor),3319084690,418,English,7.97 MB,PDF,Computer Science,"http://file.allitebooks.com/20151021/Privacy in a Digital, Networked World.pdf"
CoffeeScript Application Development Cookbook,2015,Mike Hatfield,1783289694,368,English,4.08 MB,PDF,JavaScript,http://file.allitebooks.com/20151020/CoffeeScript Application Development Cookbook.pdf
"Corona SDK Mobile Game Development: Beginner’s Guide, Second Edition",2015,Michelle M. Fernandez,1783559349,372,English,5.83 MB,PDF,Programming,"http://file.allitebooks.com/20151020/Corona SDK Mobile Game Development Beginner's Guide, Second Edition.pdf"
"Creating Development Environments with Vagrant, Second Edition",2015,Michael Peacock,1784397024,156,English,4.39 MB,PDF,Operating Systems,"http://file.allitebooks.com/20151020/Creating Development Environments with Vagrant, Second Edition.pdf"
Implementing OpenShift,2013,Adam Miller,1782164723,116,English,2.17 MB,PDF,Software,http://file.allitebooks.com/20151019/Implementing OpenShift.pdf
"Pentaho Data Integration Beginner’s Guide, Second Edition",2013,María Carina Roldán,1782165045,502,English,10.94 MB,PDF,Datebases,"http://file.allitebooks.com/20151019/Pentaho Data Integration Beginner's Guide, Second Edition.pdf"
IBM Worklight Mobile Application Development Essentials,2014,Muhammad Saif Uddin,1782177604,144,English,2.41 MB,PDF,Software,http://file.allitebooks.com/20151019/IBM Worklight Mobile Application Development Essentials.pdf
Getting Started with CreateJS,2014,Afshin Mehrabani,1783980265,102,English,8.76 MB,PDF,JavaScript,http://file.allitebooks.com/20151019/Getting Started with CreateJS.pdf
Source SDK Game Development Essentials,2014,Brett Bernier,184969592X,294,English,12.22 MB,PDF,Computer Science,http://file.allitebooks.com/20151019/Source SDK Game Development Essentials.pdf
Visual Studio 2013 Cookbook,2014,Jeff Martin,1782171967,333,English,14.91 MB,PDF,C & C++,http://file.allitebooks.com/20151019/Visual Studio 2013 Cookbook.pdf
Rails 4 Application Development: Hotshot,2014,Saurabh Bhatia,1783286296,378,English,6.65 MB,PDF,Web Development,http://file.allitebooks.com/20151019/Rails 4 Application Development Hotshot.pdf
Text Genres and Registers: The Computation of Linguistic Features,2015,Chengyu Alex Fang,3662450992,284,English,11.15 MB,PDF,Computer Science,http://file.allitebooks.com/20151019/Text Genres and Registers The Computation of Linguistic Features.pdf
Flash Programming for the Social & Behavioral Sciences,2012,Yana Weinstein,141299635X,184,English,"2,58 MB",PDF,Windows & PC,http://file.allitebooks.com/20151018/Flash Programming for the Social & Behavioral Sciences.pdf
Making Embedded Systems,2011,Elecia White,1449302149,330,English,13.11 MB,PDF,Programming,http://file.allitebooks.com/20151018/Making Embedded Systems.pdf
Software Testing: Concepts and Operations,2015,Ali Mili,1118662873,368,English,3.29 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/Software Testing- Concepts and Operations.pdf
Fundamentals of Convolutional Coding,2015,Kamil Sh. Zigangirov,0470276835,688,English,3.66 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/Fundamentals of Convolutional Coding.pdf
Agile Project Management with GreenHopper 6 Blueprints,2013,Jaibeer Malik,1849699739,140,English,2.01 MB,PDF,Software,http://file.allitebooks.com/20151017/Agile Project Management with GreenHopper 6 Blueprints.pdf
Efficient Learning Machines,2015,Mariette Awad,1430259892,268,English,8.13 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/Efficient Learning Machines.pdf
ABAP Cookbook,2010,James Wood,1592293263,548,English,59.93 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/ABAP Cookbook.pdf
ABAP Development for SAP HANA,2014,E. Westenberger,1592298591,609,English,81 MB,PDF,Network Administration,http://file.allitebooks.com/20151017/ABAP Development for SAP HANA.pdf
ABAP to the Future,2015,Paul Hardy,1493211617,727,English,36.64 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/ABAP to the Future.pdf
SAP HANA Administration,2014,Lars Breddemann,1592299520,724,English,29.85 MB,PDF,Computer Science,http://file.allitebooks.com/20151017/SAP HANA Administration.pdf
Python Machine Learning,2015,Sebastian Raschka,1783555130,454,English,9.95 MB,PDF,Datebases,http://file.allitebooks.com/20151017/Python Machine Learning.pdf
Mastering Python Scientific Computing,2015,Hemant Kumar Mehta,1783288825,300,English,3.37 MB,PDF,Python,http://file.allitebooks.com/20151017/Mastering Python Scientific Computing.pdf
Ext JS 4 Plugin and Extension Development,2013,Abdullah Al Mohammad,1782163727,116,English,3.83 MB,PDF,JavaScript,http://file.allitebooks.com/20151017/Ext JS 4 Plugin and Extension Development.pdf
Learning Search-Driven Application Development with SharePoint 2013,2013,Johnny Tordgeman,1782171002,106,English,4.32 MB,PDF,"Networks, Protocols & APIs",http://file.allitebooks.com/20151017/Learning Search-Driven Application Development with SharePoint 2013.pdf
Applied Architecture Patterns on the Microsoft Platform,2010,Ewan Fairweather,184968054X,544,English,11.94 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151017/Applied Architecture Patterns on the Microsoft Platform.pdf
A Concise Introduction to Data Structures using Java,2014,Mark J. Johnson,1466589892,236,English,1.34 MB,PDF,Java,http://file.allitebooks.com/20151017/A Concise Introduction to Data Structures using Java.pdf
Systematic Program Design,2013,Professor Yanhong Annie Liu,1107610796,252,English,"1,85 MB",PDF,Computer Science,http://file.allitebooks.com/20151016/Systematic Program Design- From Clarity to Efficiency.pdf
Practical Robot Design: Game Playing Robots,2014,Carlos A. Acosta Calderon,1439810338,418,English,15.81 MB,PDF,Computer Science,http://file.allitebooks.com/20151016/Practical Robot Design- Game Playing Robots.pdf
JavaScript Quick Syntax Reference,2015,Mikael Olsson,1430264934,92,English,0.95 MB,PDF,JavaScript,http://file.allitebooks.com/20151016/JavaScript Quick Syntax Reference.pdf
Innovations in Intelligent Image Analysis,2011,Halina Kwasnicka,3642267203,336,English,7.37 MB,PDF,Computer Science,http://file.allitebooks.com/20151015/Innovations in Intelligent Image Analysis.pdf
"Systems Analysis and Design, 10th edition",2013,Harry J. Rosenblatt,1285171349,688,English,114.69 MB,PDF,Computer Science,"http://file.allitebooks.com/20151015/Systems Analysis and Design, 10th edition.pdf"
"HDInsight Essentials, Second Edition",2015,Rajesh Nadipalli,1784399426,178,English,8.01 MB,PDF,Datebases,"http://file.allitebooks.com/20151015/HDInsight Essentials, Second Edition.pdf"
Learning Dart,2014,Dzenan Ridjanovic,1849697426,388,English,3.43 MB,PDF,Networking & Cloud Computing,http://file.allitebooks.com/20151015/Learning Dart.pdf
SAP HANA Cookbook,2013,Chandrasekhar Mankala,1782177620,284,English,15.96 MB,PDF,Network Administration,http://file.allitebooks.com/20151015/SAP HANA Cookbook.pdf
"Learning Vaadin 7, Second Edition",2013,Nicolas Frankel,1782169776,436,English,6.36 MB,PDF,Java,"http://file.allitebooks.com/20151015/Learning Vaadin 7, Second Edition.pdf"
F# for Quantitative Finance,2013,Johan Astborg,1782164626,286,English,3.85 MB,PDF,ASP.NET,http://file.allitebooks.com/20151015/F for Quantitative Finance.pdf
RabbitMQ Cookbook,2013,Gabriele Santomaggio,1849516502,288,English,5.66 MB,PDF,Python,http://file.allitebooks.com/20151015/RabbitMQ Cookbook.pdf
Getting Started with Opencart Module Development,2013,Rupak Nepali,1783280379,112,English,1.85 MB,PDF,Web Development,http://file.allitebooks.com/20151015/Getting Started with Opencart Module Development.pdf
Building UIs with Wijmo,2013,Yuguang Zhang,1849696063,116,English,2.31 MB,PDF,Administration,http://file.allitebooks.com/20151015/Building UIs with Wijmo.pdf
Learning Android Intents,2014,Muhammad Usama bin Aftab,1783289635,318,English,7.75 MB,PDF,Linux & Unix,http://file.allitebooks.com/20151015/Learning Android Intents.pdf
Joomla! 3 Boot Camp,2014,Herb Boeckenhaupt,1285764676,560,English,18.38 MB,PDF,CMS,http://file.allitebooks.com/20151015/Joomla! 3 Boot Camp.pdf
Pro Microsoft Speech Server 2007,2007,Michael Dunn,1590599020,275,English,10.73 MB,PDF,Software,http://file.allitebooks.com/20151015/Pro Microsoft Speech Server 2007.pdf
Oracle Applications DBA Field Guide,2006,Elke Phelps,1590596447,264,English,2.22 MB,PDF,Oracle,http://file.allitebooks.com/20151015/Oracle Applications DBA Field Guide.pdf
Foundations of BizTalk Server 2006,2007,Daniel Woolston,1590597753,264,English,9.22 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151015/Foundations of BizTalk Server 2006.pdf
Use Case Driven Object Modeling with UML,2008,Don Rosenberg,1590597745,438,English,11.56 MB,PDF,Web Development,http://file.allitebooks.com/20151015/Use Case Driven Object Modeling with UML.pdf
Raspberry Pi LED Blueprints,2015,Agus Kurniawan,178217575X,180,English,5.55 MB,PDF,Python,http://file.allitebooks.com/20151015/Raspberry Pi LED Blueprints.pdf
Enterprise Cybersecurity,2015,Abdul Aslam,1430260823,536,English,21.34 MB,PDF,Security,http://file.allitebooks.com/20151015/Enterprise Cybersecurity.pdf
Mobile Application Security,2010,Chris Clark,0071633561,432,English,4.84 MB,PDF,Network Security,http://file.allitebooks.com/20151015/Mobile Application Security.pdf
Backbone.js Patterns and Best Practices,2014,Swarnendu De,1783283572,174,English,1.23 MB,PDF,JavaScript,http://file.allitebooks.com/20151015/Backbone.js Patterns and Best Practices.pdf
Windows Phone 8 Game Development,2013,Marcin Jamro,1849696802,394,English,10.22 MB,PDF,Windows,http://file.allitebooks.com/20151015/Windows Phone 8 Game Development.pdf
Instant PLC Programming with RSLogix 5000,2013,Austin Scott,1849698449,68,English,1.09 MB,PDF,Hardware & DIY,http://file.allitebooks.com/20151015/Instant PLC Programming with RSLogix 5000.pdf
"OpenGL 4 Shading Language Cookbook, Second Edition",2013,David Wolff,1782167021,394,English,5.61 MB,PDF,3D Graphics,"http://file.allitebooks.com/20151015/OpenGL 4 Shading Language Cookbook, Second Edition.pdf"
"More iPhone Development with Objective-C, Third Edition",2015,Alex Horovitz,1430260378,512,English,12.08 MB,PDF,Programming,http://file.allitebooks.com/20151015/More iPhone Development with Objective-C.pdf
The Leprechauns of Software Engineering,2015,Laurent Bossavit,2954745509,196,English,3.09 MB,PDF,Computers & Technology,http://file.allitebooks.com/20151013/The Leprechauns of Software Engineering.pdf
Build APIs You Won’t Hate,2015-08-12,Laura Bohill,0692232699,181,English,3.17 MB,PDF,Web Development,http://file.allitebooks.com/20151013/Build APIs You Won't Hate.pdf
Healthy SQL,2015,Robert Pearl,1430267739,408,English,18.47 MB,PDF,Datebases,http://file.allitebooks.com/20151013/Healthy SQL.pdf
Zend Framework 1 to 2 Migration Guide,2015,Bart McLeod,1940111218,108,English,2.64 MB,PDF,PHP,http://file.allitebooks.com/20151013/Zend Framework 1 to 2 Migration Guide.pdf
"SVG Colors, Patterns & Gradients: Painting Vector Graphics",2015,Amelia Bellamy-Royds,1491933747,310,English,49.35 MB,PDF,XML,"http://file.allitebooks.com/20151013/SVG Colors, Patterns & Gradients Painting Vector Graphics.pdf"
An Architectural Approach to Level Design,2014,Christopher W. Totten,1466585412,469,English,16.83 MB,PDF,Game Programming,http://file.allitebooks.com/20151013/An Architectural Approach to Level Design.pdf
C# 6.0 Pocket Reference,2015,Ben Albahari,1491927410,232,English,2.55 MB,PDF,C#,http://file.allitebooks.com/20151013/C- 6.0 Pocket Reference.pdf
Excel as Your Database,2007,Paul Cornell,1590597516,226,English,3.05 MB,PDF,Software,http://file.allitebooks.com/20151013/Excel as Your Database.pdf
Pro Apache Struts with Ajax,2006,John Carnell,1590597389,528,English,8.01 MB,PDF,Java,http://file.allitebooks.com/20151013/Pro Apache Struts with Ajax.pdf
Big Data and The Internet of Things,2015,Art Licht,1484209877,220,English,5.35 MB,PDF,Computer Science,http://file.allitebooks.com/20151013/Big Data and The Internet of Things.pdf
"Implementing Cisco IOS Network Security (IINS 640-554) Foundation Learning Guide, 2nd Edition",2012,Catherine Paquet,1587142724,704,English,33.73 MB,PDF,Certification,http://file.allitebooks.com/20151013/Implementing Cisco IOS Network Security (IINS 640-554) Foundation Learning Guide (2nd Edition).pdf
NGUI for Unity,2014,Charles Bernardoff,1783558660,182,English,2.78 MB,PDF,C#,http://file.allitebooks.com/20151013/NGUI for Unity.pdf
Learning Cloudera Impala,2013,Avkash Chauhan,1783281278,150,English,2.84 MB,PDF,SQL,http://file.allitebooks.com/20151013/Learning Cloudera Impala.pdf
Bayesian Programming,2014,Emmanuel Mazer,1439880328,380,English,7.01 MB,PDF,Computer Science,http://file.allitebooks.com/20151012/Bayesian Programming.pdf
The CIO’s Guide to Oracle Products and Solutions,2014,Jessica Keyes,1482249944,288,English,2.74 MB,PDF,Oracle,http://file.allitebooks.com/20151012/The CIO-s Guide to Oracle Products and Solutions.pdf
Data Mining Tools for Malware Detection,2012,Bhavani Thuraisingham,1439854548,450,English,9.19 MB,PDF,Programming,http://file.allitebooks.com/20151012/Data Mining Tools for Malware Detection.pdf
Image Encryption: A Communication Perspective,2014,El-Sayed M. El-Rabaie,1466576987,418,English,43.78 MB,PDF,Computer Science,http://file.allitebooks.com/20151012/Image Encryption- A Communication Perspective.pdf
